|pm_ra   |pm_dec  |hip_number|vmag |ra_deg      |dec_deg     |bv_color|
|  -30.83|   28.12|     42794| 6.05|130.80128686|-79.07015010|   0.229|
|   -5.67|  -15.75|     72370| 3.83|221.96552567|-79.04471242|   1.433|
|   79.07|   73.56|     14521| 5.67|046.88292015|-78.98942329|   0.298|
|  -29.31|   27.58|     42637| 5.46|130.33167303|-78.96342637|  -0.101|
| -125.68|  -77.59|     81065| 3.86|248.36443409|-78.89695917|   0.923|
|   12.55|   18.18|     26264| 6.04|083.90054432|-78.82088325|  -0.018|
|   54.95|    1.16|    117125| 5.74|356.16950877|-78.79144467|   1.108|
|   54.18|   -7.50|    111504| 6.15|338.85984361|-78.77156677|   1.368|
|   -9.91|  -36.59|     80047| 4.68|245.08681283|-78.69565609|   1.680|
|   -1.67|  -30.98|     80057| 5.27|245.11193231|-78.66742066|   1.413|
|  -38.00|   11.53|     51839| 4.11|158.86757668|-78.60781379|   1.580|
|  -14.19|   -9.03|     68431| 6.09|210.13689131|-78.58995932|   0.007|
|   -4.31|  -19.64|     59647| 6.34|183.48531404|-78.57388687|   1.234|
|  -30.96| -137.42|      7271| 6.11|023.41359158|-78.50448590|   0.970|
|   -8.41|   -3.72|     64587| 5.84|198.57231883|-78.44744492|   1.040|
|  -38.85|  -24.94|     64108| 6.43|197.08550598|-78.44596983|   0.008|
|  -11.26|  -26.72|     16290| 5.68|052.49552432|-78.35178497|   0.932|
|  103.01|   53.05|      8991| 6.15|028.95937790|-78.34867741|   0.448|
|  -14.30|    6.53|     16827| 6.29|054.12576577|-78.32308914|   1.150|
|  -18.53|    1.03|     23251| 6.29|075.05536691|-78.30001167|   1.517|
|  -41.24|   -8.48|     58484| 4.88|179.90704708|-78.22181833|  -0.054|
|   -1.68|  -73.47|     78360| 6.40|239.97974391|-78.02709871|   0.387|
|  -79.59| -130.26|     76664| 6.19|234.82757495|-77.91768742|   1.207|
|  -26.52|  149.49|     92233| 6.39|281.95501862|-77.86861256|   0.593|
|   -5.86|   -2.87|     69778| 6.48|214.22985498|-77.66421460|   1.375|
|  -11.96|   -6.41|    108759| 6.39|330.46936672|-77.66252854|   0.231|
|   -7.03|  -10.49|     21611| 6.05|069.59060165|-77.65597754|   1.080|
|  -77.89|   -8.36|     55497| 6.43|170.48794976|-77.60834843|   0.202|
| -282.83| -355.03|     81852| 4.23|250.77258180|-77.51657182|   1.060|
|  -37.28|   14.28|    110078| 5.49|334.46123241|-77.51158803|   0.312|
| -129.09|   40.78|     40888| 4.34|125.16203304|-77.48457640|   1.161|
|   14.23|   -6.44|      1706| 5.96|005.36976160|-77.42685699|   1.397|
|   64.83| -240.38|    107089| 3.73|325.36863801|-77.38946215|   1.008|
|  113.20|   62.00|     15201| 5.51|048.98899185|-77.38860498|   0.438|
|   15.66|    1.79|    116250| 5.82|353.33143988|-77.38533173|   0.681|
| 2220.12|  324.37|      2021| 2.82|006.41334183|-77.25503511|   0.618|
|  -14.27|   -9.99|     72670| 6.44|222.87530330|-77.17594571|  -0.024|
|  -13.33|  -10.26|     73415| 5.92|225.04724166|-77.16052523|   1.052|
|  -56.52| -176.95|       122| 4.78|000.39937928|-77.06529438|   1.254|
|   13.83| -369.38|    104043| 5.13|316.17928592|-77.02286938|   0.490|
|  -21.07|  -12.15|     71870| 6.34|220.49900623|-77.01142210|  -0.027|
|  109.84|  106.92|     40702| 4.05|124.63027850|-76.91998251|   0.413|
|   78.48|  -18.47|    116653| 5.99|354.59870499|-76.86950742|   0.907|
|  -87.41|  -31.23|     68815| 5.69|211.33375541|-76.79667632|   1.239|
|   83.51|  -56.95|     47956| 5.43|146.58507788|-76.77598144|   0.901|
|  -27.54|  -28.27|     70874| 6.06|217.40447558|-76.72901396|   1.180|
|   39.27|  -43.98|     45166| 6.13|138.05110817|-76.66292167|   1.090|
|  -68.58|  -16.14|     73223| 5.37|224.47148916|-76.66261622|   1.442|
|  -77.48|   46.84|     58905| 5.04|181.19443206|-76.51917475|   1.491|
|  143.20|  287.75|     25918| 5.18|082.96942437|-76.34166340|   1.130|
|  -17.82|    7.86|     51835| 6.29|158.85334697|-76.30900474|   1.205|
|  190.83|   -9.43|    102162| 5.99|310.51050472|-76.18056892|   0.450|
|    1.16|   -1.34|     87926| 6.08|269.42367575|-76.17794609|   1.205|
|   27.81|  -66.28|    108849| 5.94|330.76559241|-76.11826634|   0.399|
|  -59.14|  -40.71|    109584| 6.13|332.97970309|-76.11592445|   1.001|
|   -8.20|  -38.98|     76877| 5.95|235.47793121|-76.08186451|  -0.034|
|  -17.82|   -2.41|      1268| 6.49|003.97890167|-75.91160944|   0.983|
| -128.21|   -1.21|     56675| 5.64|174.31642653|-75.89654092|   0.362|
|   16.71| -294.43|     89115| 5.86|272.81567436|-75.89079431|   1.253|
|  -18.06|   -7.27|     66607| 6.32|204.80016438|-75.68377048|  -0.003|
|  -27.07|  -10.01|     61738| 6.46|189.81098559|-75.37056959|   0.098|
|  -92.34|   19.00|     59151| 5.17|181.95870080|-75.36706513|   1.278|
|   43.19|   -5.79|     57092| 6.48|175.56175020|-75.22730303|   0.528|
|  -23.94|   -0.91|     55308| 6.26|169.90242028|-75.14244982|  -0.016|
|  -11.14|    3.94|     53546| 6.16|164.31585745|-75.09977108|   1.531|
