|pm_ra   |pm_dec  |hip_number|vmag |ra_deg      |dec_deg     |bv_color|
| -519.29| -517.87|     68933| 2.06|211.67218608|-36.36869575|   1.011|
|  -10.82|    1.82|     38497| 5.44|118.26464297|-36.36377387|   1.161|
|    7.37|   -7.39|     62128| 6.38|190.99443237|-36.34913468|  -0.060|
|   -7.21|    7.69|     40324| 6.11|123.49460507|-36.34079527|  -0.185|
|   -8.59|    4.11|     36778| 5.42|113.46270622|-36.33840157|  -0.078|
|   -8.66|    7.89|     40321| 5.09|123.49299197|-36.32229977|  -0.184|
|  -18.07|    4.29|     48219| 6.36|147.46400531|-36.26847322|   1.008|
|  -23.58|   -5.68|     73901| 6.27|226.55812576|-36.26458513|   1.658|
|  -91.85|  -86.03|     75177| 3.57|230.45181856|-36.26116729|   1.534|
|  -13.28|  -11.50|     67244| 5.15|206.73483886|-36.25190473|  -0.007|
|    7.61|    5.34|     90124| 5.52|275.87008800|-36.23800004|   1.015|
|  -15.31|   97.95|     31299| 5.42|098.45621385|-36.23226731|   1.419|
|  -40.47|  -59.14|     32938| 5.94|102.92687429|-36.23012600|   0.183|
|   29.39|   -6.28|    104980| 6.13|318.94484967|-36.21069394|   1.380|
|  -49.42|  -56.63|     17874| 4.17|057.36367035|-36.20011250|   0.927|
|   -9.83|  -12.37|     78142| 5.78|239.33888563|-36.18531380|   1.095|
|  -26.52|   -0.63|     55588| 5.00|170.80292630|-36.16476782|   1.464|
|  -31.58|   -6.17|     71783| 5.67|220.25588965|-36.13484330|  -0.081|
|  103.88|  -58.20|    103646| 6.10|314.99841027|-36.12949945|   0.400|
|   40.22|  -52.07|    102496| 6.49|311.57740846|-36.12002528|   0.433|
|   12.52|   18.34|     17734| 6.21|056.95668288|-36.10582931|  -0.102|
|  456.89|-1574.91|     99461| 5.32|302.79836763|-36.09738423|   0.868|
|  -25.61|   -1.43|     47224| 5.96|144.36841333|-36.09599061|   1.118|
|  -40.90|   -7.49|     59950| 6.15|184.44706163|-36.09396124|   0.008|
|  -22.90|  -22.85|     74479| 6.09|228.28199335|-36.09136973|  -0.081|
|  -59.85|  -73.04|     31509| 6.36|098.97530182|-36.08845467|   0.486|
|  -34.73|   27.05|     37996| 6.46|116.81091375|-36.07366604|   1.083|
|   -3.44|    1.51|     40639| 6.42|124.44230214|-36.06759473|   1.446|
| -107.66|   17.68|     55756| 5.21|171.37304571|-36.06310533|   0.979|
|  -79.39|   85.83|     37710| 5.80|116.04059732|-36.06271326|   0.320|
|  -21.14|   14.17|     37623| 5.60|115.79999230|-36.05012400|  -0.130|
|  105.44|    7.99|     88694| 5.94|271.59851342|-36.01980798|   0.615|
|  -34.70|    2.24|     90290| 6.14|276.34040865|-35.99203084|   1.006|
|   11.33|   14.20|     24426| 5.75|078.62015802|-35.97703069|   1.009|
|  -13.83|    4.24|     36657| 6.35|113.09283885|-35.96119858|  -0.096|
|  -24.74|    5.07|     46515| 4.51|142.31140615|-35.95134780|   1.408|
|   -0.84|    7.74|     14972| 6.29|048.25620858|-35.94370659|  -0.076|
|  -10.54|   20.21|     42775| 6.42|130.73752724|-35.94334976|   0.019|
|   -8.01|  -64.36|     83235| 5.95|255.15413916|-35.93397620|   1.161|
|   36.34|   -4.74|     15987| 6.39|051.48256440|-35.92087386|   0.082|
|   88.18|   96.20|     85019| 6.42|260.65793288|-35.91093287|   0.541|
|   41.36|  -28.84|     57497| 6.16|176.77925104|-35.90679191|   0.952|
|   -8.11|    6.59|     40485| 6.15|123.99511855|-35.90320668|   1.549|
|  -14.00|  -33.55|     88550| 5.98|271.20995733|-35.90136032|   1.160|
|   -7.30|   10.07|     40274| 4.78|123.37301019|-35.89954225|  -0.110|
|  -89.59|  -16.27|     48926| 5.23|149.71808346|-35.89093311|   0.300|
|   -3.88|    3.41|     38593| 5.48|118.54588048|-35.87729557|  -0.175|
|   34.80|  -86.36|     64003| 5.63|196.72595485|-35.86182329|   0.050|
| -442.84|   16.26|     49769| 6.14|152.38369551|-35.85681022|   0.615|
|   35.67|   -3.29|     16156| 6.49|052.04791177|-35.85341812|   0.126|
|   51.52|   20.27|     13225| 5.92|042.56144528|-35.84368582|   0.899|
|   -9.57|   15.37|     35893| 6.32|110.99309051|-35.83786094|  -0.136|
|  -73.99|   -2.06|     47039| 6.48|143.79948668|-35.82374500|   0.417|
|  -21.69|    4.45|     54173| 5.43|166.22587294|-35.80468900|   0.021|
|   55.74|  404.68|     27628| 3.12|087.73980340|-35.76929225|   1.146|
| -111.08| -342.47|     84489| 6.09|259.09034067|-35.74946511|   0.479|
|  -26.60|    5.53|     52273| 6.36|160.21482610|-35.74173139|   0.917|
|  156.61| -173.39|     46736| 5.86|142.88722307|-35.71432898|   1.287|
|   28.46|   40.58|     23596| 6.32|076.10890221|-35.70520775|   0.311|
|  -34.61|    2.77|     59008| 6.23|181.48621209|-35.69393235|  -0.073|
|   76.73|    6.38|     16112| 5.71|051.88902397|-35.68133899|   1.284|
|    3.86|  -54.37|     13265| 5.48|042.66834974|-35.67571664|   1.259|
|   -3.71|   59.87|     27325| 6.29|086.82787287|-35.67422033|   1.191|
|   36.35|   19.26|    100332| 6.46|305.21612805|-35.67372299|   1.311|
|  -82.39|  -22.28|     67819| 5.53|208.38675080|-35.66419416|   0.444|
|    1.51|   31.23|     21042| 5.95|067.66803902|-35.65358006|   1.005|
|    1.21|  -26.98|     91918| 4.86|281.08066463|-35.64192109|  -0.168|
|    9.28|  -54.04|     87532| 6.03|268.23999275|-35.62418307|   0.342|
|    1.69|  -20.76|    101017| 6.09|307.19473436|-35.59581290|  -0.094|
|   -1.62|   10.27|     20467| 6.38|065.78232507|-35.54484031|   1.242|
|    4.84|    1.32|    115833| 6.34|352.00286076|-35.54448803|   1.201|
|   -5.98| -112.30|    113447| 6.15|344.64587927|-35.52295831|   0.582|
|   13.88|   16.09|     28855| 5.80|091.36320378|-35.51368651|   0.027|
|  -40.38|   19.58|     33451| 6.23|104.32338804|-35.50720085|   0.465|
|  -20.07|    7.53|     47627| 6.39|145.67236047|-35.50172774|  -0.053|
|  -46.16|   21.91|     40344| 5.77|123.55537215|-35.49007215|   1.024|
|  126.17|  -44.36|     23595| 4.55|076.10129897|-35.48287057|   1.177|
|   28.36|  -34.11|     25859| 3.86|082.80306450|-35.47043592|   1.130|
|   -0.44|   13.41|     39920| 6.21|122.29245558|-35.45504736|   0.892|
|   11.40|    1.01|     40678| 5.59|124.57244799|-35.45170517|   1.246|
|    2.38|   -3.03|     83706| 6.15|256.61819932|-35.45103893|   0.438|
|    7.04|  -11.14|     94986| 5.59|289.91662081|-35.42142487|  -0.122|
|  -41.24|   -7.49|     60449| 5.32|185.89770601|-35.41265923|  -0.066|
|   -2.37|    5.52|     33394| 6.27|104.19043191|-35.34134788|   1.278|
|    9.18|   -0.12|     55953| 6.44|171.99443796|-35.32884907|   1.614|
| -295.30|  -69.78|     67851| 6.17|208.46780190|-35.31419181|   1.009|
|    9.68|  -21.18|     42515| 3.97|130.02556894|-35.30830091|   0.936|
|   -2.65|   11.19|     28199| 4.36|089.38421613|-35.28330688|  -0.165|
|    6.02|  -25.15|     98412| 4.37|299.93405965|-35.27624433|  -0.150|
|  -20.06|  -26.02|     19509| 6.43|062.69118936|-35.27372401|   1.070|
|   -2.48|    8.55|     31072| 5.82|097.80457202|-35.25886111|   0.813|
|   14.72|   12.14|     81304| 4.18|249.09358718|-35.25535553|   1.535|
|   -6.14|    8.88|     38167| 5.94|117.31105571|-35.24330796|  -0.051|
|   10.04|   -2.03|     72104| 4.92|221.24664628|-35.19182069|   0.013|
|  -40.55|   -6.48|     60610| 5.71|186.34068272|-35.18640097|  -0.066|
|  -60.93| -176.82|     72010| 4.06|220.91451458|-35.17322549|   1.356|
|    0.39|   87.58|     29807| 4.37|094.13806399|-35.14073157|   0.978|
|  100.02|  -28.13|     26019| 5.75|083.28048500|-35.13930773|   1.085|
|  169.01|  113.75|       950| 5.24|002.93286698|-35.13339606|   0.459|
|   -6.91|   11.03|     41515| 5.75|126.99760675|-35.11378822|  -0.151|
|  -79.06|  -29.89|     57971| 6.17|178.36194168|-35.06657261|   0.089|
|    0.11|  -46.15|     30566| 6.24|096.37502195|-35.06404110|   1.353|
|  -60.33| -516.78|      2663| 6.41|008.43270424|-35.00082229|   0.617|
| 1149.24|  -90.80|     84709| 5.91|259.73483426|-34.98957161|   1.082|
|   78.88| -108.93|     95149| 6.48|290.37374869|-34.98322276|   0.628|
|  -13.65|   16.53|     37096| 4.53|114.34216663|-34.96857044|  -0.081|
|   24.68|  -22.43|     22573| 5.82|072.86749463|-34.90623200|   0.105|
|   76.54|  -11.99|      1195| 6.17|003.74253202|-34.90419374|   1.344|
|    2.38|   -6.15|     87569| 5.58|268.34779437|-34.89510976|   1.098|
|   93.71| -336.53|     24659| 4.81|079.37093064|-34.89438961|   0.987|
|  -16.00|  -11.96|     38635| 6.14|118.66636484|-34.84668366|   1.540|
|    4.33|   -4.59|     87624| 6.41|268.49222234|-34.83104228|   0.000|
|    3.29|   -5.35|     87460| 5.88|268.05691299|-34.79918358|  -0.111|
|  -26.28|   -0.33|     70243| 5.57|215.58223947|-34.78679152|  -0.088|
|  -41.16|   40.13|     34200| 6.15|106.38353593|-34.77779761|   0.353|
|    2.45|   -4.70|     87616| 6.00|268.47821519|-34.75270986|  -0.060|
|   74.80|   84.45|    113860| 5.12|345.87401266|-34.74961718|   0.305|
|  -44.04|   -1.84|     56922| 4.70|175.05341839|-34.74465530|  -0.070|
|  -27.55|  -16.83|     55164| 6.44|169.41201062|-34.73730711|   0.408|
|   31.99|   -0.81|     18213| 5.11|058.41218403|-34.73229529|  -0.133|
|    1.65|   -8.07|     87567| 6.14|268.33157778|-34.73079237|  -0.041|
|  -23.96|  -30.43|     76945| 4.75|235.67098805|-34.71033325|  -0.151|
| -198.24|  238.13|     38423| 5.01|118.06584635|-34.70602121|   0.470|
|  -44.96|   -2.30|     59307| 6.16|182.51075478|-34.70473605|   0.030|
|  -11.51|  -18.56|     80911| 4.24|247.84558957|-34.70432087|  -0.168|
|    4.39|   -2.29|     24909| 6.34|080.08627558|-34.69885053|   0.318|
|  108.71|  -69.13|     98421| 5.30|299.96366659|-34.69763103|   0.170|
|   -2.00|  -18.88|     85237| 6.14|261.26111805|-34.69600968|   0.046|
|  -19.83|  -26.63|     77286| 5.61|236.68429408|-34.68238898|  -0.117|
|    5.06|   51.30|     26868| 5.29|085.56329561|-34.66793677|  -0.032|
|  -17.41|  -17.94|     11867| 5.91|038.27932880|-34.64992327|   1.064|
|  -18.26|    3.27|     41939| 6.36|128.24380764|-34.63404652|   0.951|
|  -12.82|    5.77|     43114| 6.33|131.70520725|-34.62295882|  -0.127|
|   -8.88|    4.31|     40787| 6.44|124.87299244|-34.59014713|  -0.079|
|  -18.27| -259.92|     12186| 5.78|039.24425358|-34.57734519|   0.653|
|   -8.21|  -34.63|     66405| 6.48|204.21073820|-34.46775455|   1.026|
|    1.90|   -4.62|     87671| 6.10|268.61300345|-34.46671107|   0.055|
|  -42.59|  -59.87|     67457| 4.19|207.36146356|-34.45063035|   1.520|
|    3.35|   -4.86|     87472| 5.84|268.08233216|-34.41683044|   1.129|
|    5.65|  -13.70|     76705| 4.66|234.94156188|-34.41189273|   0.964|
|    4.39|    1.84|     30069| 5.76|094.92063879|-34.39659537|  -0.080|
|  -39.61| -124.05|     90185| 1.79|276.04310967|-34.38431460|  -0.031|
|    4.52|    0.85|     32855| 4.99|102.71812209|-34.36732059|   1.379|
|  -28.07|  -23.89|     73559| 6.21|225.49208900|-34.35881656|   0.242|
|    0.57|    6.20|     25007| 6.05|080.32025164|-34.34506641|  -0.176|
|    2.83|    0.44|     28992| 5.82|091.76528547|-34.31202171|  -0.137|
| -611.83| -255.87|     82396| 2.29|252.54268738|-34.29260982|   1.144|
|  -11.58|  -33.39|     85839| 6.16|263.10264642|-34.27932379|   0.360|
| -220.83| 1722.89|     37853| 5.36|116.39657467|-34.17655092|   0.589|
|  -62.59|   27.01|    112501| 6.28|341.83002439|-34.16178732|   1.145|
|    0.42|   19.94|     30143| 5.55|095.15099685|-34.14419295|  -0.182|
|   -8.10|    6.36|     36143| 5.90|111.67696453|-34.14070792|  -0.153|
|  -37.20|    6.15|     59588| 6.34|183.30403548|-34.12528736|   1.449|
|    1.98|   -3.20|     83574| 4.83|256.20562945|-34.12292247|   0.257|
|    2.37|   -4.83|     87516| 6.05|268.20509107|-34.11482109|   1.241|
|  -16.54|    7.15|     33558| 5.07|104.60460729|-34.11172588|  -0.154|
|   -5.30|   -9.31|     89637| 6.03|274.40103799|-34.10723517|  -0.096|
|  -12.79|   -9.72|     45754| 6.40|139.94976336|-34.10331577|  -0.087|
|   -0.10|  -24.05|     26634| 2.65|084.91224975|-34.07404941|  -0.120|
|  -40.12|    6.99|     52965| 5.61|162.48769199|-34.05819988|   0.038|
|    5.98|  -49.37|    109289| 4.99|332.10803368|-34.04372111|   1.499|
|   73.77|   57.57|     20535| 3.97|066.00902233|-34.01698632|   1.468|
|  -13.79|   28.29|    109404| 5.37|332.48213069|-34.01503553|   0.241|
|  -29.11|  -14.29|     62683| 4.90|192.67161238|-33.99926779|  -0.031|
|   23.80|  -45.97|     78105| 5.14|239.22283960|-33.96602225|   0.129|
|   20.26|  -49.68|     78106| 5.59|239.22543843|-33.96415999|   0.072|
|   -1.58|  -10.88|     90336| 6.30|276.47752648|-33.94569163|  -0.075|
|   -5.81|   -4.04|    106340| 5.97|323.06072952|-33.94461293|   0.051|
|    5.44|  -26.39|     28524| 5.54|090.31789213|-33.91177131|   1.580|
|  -58.02|    2.40|     57936| 4.29|178.22733867|-33.90813014|  -0.100|
|   -2.11|    4.53|     20138| 6.36|064.76204095|-33.90462785|   0.132|
|   19.18|   -2.03|     73049| 5.32|223.93622772|-33.85578004|   0.046|
|   18.56|    5.52|     11477| 5.13|037.00704179|-33.81105246|   0.089|
|   -4.52|   32.40|     27810| 4.88|088.27868480|-33.80143950|  -0.154|
|    1.13|   -0.73|     89086| 6.13|272.73060993|-33.80006816|  -0.137|
|   62.31|   -6.75|     20042| 3.55|064.47341068|-33.79833145|  -0.108|
|   11.23|  -15.42|     59622| 6.34|183.40332369|-33.79288126|   0.071|
|    3.71|  -20.19|    102831| 4.89|312.49199793|-33.77967320|   1.004|
|   -4.53|  -58.03|     53699| 5.70|164.80726626|-33.73745399|   0.374|
|  -15.28|   -8.44|     35463| 6.31|109.80706646|-33.72714600|   1.302|
|   42.71|  -37.68|    115178| 6.35|349.92965523|-33.70796023|   1.308|
|   -7.68|  -31.45|     85786| 6.43|262.94735241|-33.70308126|   1.191|
|  130.79| -289.30|     98470| 5.65|300.08399517|-33.70274870|   0.498|
|   71.63|  -42.75|    106907| 6.28|324.77527499|-33.67875173|   0.949|
|   -5.92|  -24.91|     77634| 3.97|237.73975730|-33.62710488|  -0.045|
|   29.35|  -33.95|     56620| 5.71|174.14551817|-33.56997476|   1.020|
|   33.76|    9.96|     40291| 6.38|123.42104390|-33.56955241|   1.141|
|   -7.62|    4.24|     39617| 6.15|121.43704092|-33.56944572|   1.098|
|    0.10|   -2.98|     84401| 5.60|258.83019699|-33.54841317|  -0.056|
|  -25.69|  -44.91|     79199| 5.50|242.46919686|-33.54569572|  -0.075|
|  -44.23|  -23.51|      5042| 6.44|016.13586737|-33.53278805|   1.071|
|  -42.75|    3.15|       655| 5.67|002.01465535|-33.52933371|   1.119|
|   14.49|    6.50|     82855| 6.29|253.99059176|-33.50688932|   1.747|
|  -74.19|  -71.81|     63490| 6.01|195.13628763|-33.50509249|   0.386|
|   13.13|   78.19|     33774| 6.39|105.20724583|-33.46572030|   1.052|
|  -55.92|   63.25|     36807| 6.11|113.55360344|-33.46358395|   0.297|
|  -24.19|  -52.48|     30277| 3.85|095.52852147|-33.43627251|   0.858|
|   22.87|   35.93|    102014| 5.47|310.08255226|-33.43193038|   1.118|
|   34.33|   22.02|     48748| 5.83|149.14779191|-33.41854978|   1.202|
|    4.96|  -12.26|     26796| 6.35|085.36217359|-33.40071160|  -0.040|
|  -50.82|   -5.17|     58272| 6.20|179.26575492|-33.31544880|  -0.044|
|   11.60|  -28.28|     62360| 5.87|191.69258582|-33.31541396|   1.326|
|  -52.33|  -11.97|     66254| 6.46|203.68172050|-33.31082494|   1.250|
|   -8.58|   -5.75|     72959| 5.85|223.65800270|-33.30056091|   1.429|
|  -37.43|    1.79|     38200| 5.61|117.39761883|-33.28895425|   1.617|
|    5.93|   -9.61|     82960| 5.48|254.29655015|-33.25946890|   1.606|
|  -29.40|  -34.06|     78726| 6.10|241.07432893|-33.21363541|   0.338|
|  -10.65|  -27.49|     80324| 6.45|245.98635397|-33.19932914|   0.013|
|  -17.90|    3.71|     65311| 6.17|200.78601574|-33.18988737|   1.653|
|  -14.28|   10.60|     42828| 3.68|130.89811451|-33.18641133|  -0.180|
|    7.09|   -5.62|    102989| 6.06|312.99481827|-33.17796029|   0.029|
|  -58.83|  -56.81|     81741| 5.84|250.43956303|-33.14562113|   0.653|
|   13.66|   24.90|    109306| 6.37|332.17764444|-33.12575126|   0.205|
|  -20.35|  -24.51|     76395| 6.26|234.04740479|-33.09274641|  -0.070|
|    4.25|   14.57|    111809| 5.66|339.71443125|-33.08138295|   0.037|
|   28.70|  117.16|     26219| 5.76|083.81439488|-33.08000909|   1.120|
|    4.19|  -20.26|      9207| 6.37|029.61116045|-33.06673777|   1.006|
|  -11.31|    2.38|     40945| 4.83|125.34597645|-33.05437199|   1.419|
|   -2.98|   -5.48|     86716| 6.44|265.77860253|-33.05127544|   1.813|
|   74.04|   -1.89|    106703| 6.10|324.20312178|-33.04789185|   0.226|
|  -12.62|   -1.27|     98012| 6.47|298.77129973|-33.04624883|   1.487|
| -461.85| -146.17|     67153| 4.23|206.42319432|-33.04336606|   0.390|
| -369.81|   64.39|     50075| 6.38|153.35411361|-33.03187875|   0.592|
|   31.79|  -94.00|    107380| 4.35|326.23661590|-33.02555306|  -0.053|
|    2.35|  -11.19|     91014| 5.28|278.49068660|-33.01653262|  -0.115|
|   -8.41|  -18.79|     79596| 5.91|243.59321316|-33.01104217|   1.021|
|  -20.48|  -50.39|      2210| 4.86|006.98213606|-33.00704460|   1.634|
|  -35.74|  -30.14|     67669| 4.32|207.95677175|-32.99401625|  -0.146|
|   -1.48|  -46.53|     90763| 5.37|277.77018839|-32.98900140|   0.182|
|   80.05|  -28.88|    109285| 4.50|332.09563830|-32.98839827|   0.054|
|   -9.65|  -77.42|     56657| 6.32|174.25509929|-32.98799577|   0.439|
|  -77.55| -194.27|     59021| 6.49|181.52187140|-32.96075904|   0.623|
|  -18.86|  -21.18|     76048| 6.49|232.95933926|-32.88106085|   0.065|
|  -33.32|  -22.15|    112948| 4.46|343.13149128|-32.87545019|  -0.037|
|  -17.02|    6.94|     31086| 6.31|097.85002981|-32.86856538|   1.665|
| -670.98|  823.84|     56452| 5.96|173.62480364|-32.83334205|   0.811|
|   -5.65|  -30.09|     60735| 5.56|186.71539248|-32.83004764|   0.007|
|  -34.56|  -23.53|    112746| 6.34|342.49685641|-32.80539996|   0.317|
|   -1.86|  -48.22|     43352| 5.19|132.46458755|-32.78040797|   0.876|
|    1.25| -150.02|     89010| 6.39|272.49984266|-32.71927087|   1.025|
|    3.18|    2.70|     31362| 5.62|098.64720407|-32.71626113|  -0.085|
|  -30.95|   -0.12|     52407| 5.63|160.68003687|-32.71567314|   0.006|
|   -5.31|    7.48|     39487| 5.25|121.06747264|-32.67484684|   1.882|
|  -99.18|  -55.48|     84551| 5.53|259.26547645|-32.66270528|   0.514|
|  -22.76|  -30.22|     79173| 6.18|242.38232104|-32.64893835|   0.790|
|  -21.05|  -19.66|     73624| 5.45|225.74704341|-32.64324605|  -0.127|
|   -3.44|  -30.61|     73107| 6.06|224.12862034|-32.63670976|   1.413|
|  -15.92|  -31.62|     26649| 5.44|084.95771446|-32.62913912|   0.913|
|  -10.74| -143.01|     42075| 6.41|128.63313216|-32.59839612|   0.752|
|    3.68|   -1.68|     86011| 5.69|263.67704498|-32.58165772|   0.045|
|  -13.78|   24.24|     30788| 4.47|097.04257272|-32.58012947|  -0.169|
|   -2.16|   -7.39|     84650| 6.36|259.58546532|-32.55308889|   0.109|
|  428.62|   13.83|    109422| 4.94|332.53534803|-32.54844042|   0.489|
|   10.84|   30.32|    113246| 4.20|343.98705005|-32.53970196|   0.952|
|  -24.12|  -12.03|     61172| 6.46|188.01835363|-32.53373156|   0.172|
|   19.65|  -78.57|    115102| 4.41|349.70594501|-32.53183574|   1.109|
|   25.29|  -21.95|     12786| 6.21|041.08550087|-32.52466200|   0.040|
|  -11.92|   -8.01|     43573| 6.49|133.10893590|-32.50930296|   1.451|
|   -9.18|    4.04|     32759| 3.50|102.46027285|-32.50848752|  -0.116|
|    7.30|    9.67|     13947| 6.32|044.90958178|-32.50722144|   0.002|
|   -5.54|  -33.42|     57047| 5.20|175.43313494|-32.49932237|   1.475|
|  -13.05|    9.61|     39380| 5.83|120.76737445|-32.46357097|   1.225|
|    1.98|   -1.99|     84226| 5.95|258.24398720|-32.43832730|   0.071|
|   11.58|   13.29|     54725| 6.35|168.06159256|-32.43382529|   1.683|
|   86.96|  158.96|     13147| 4.45|042.27233113|-32.40628403|   0.981|
|   -2.14|    7.55|     30840| 5.74|097.16351878|-32.37129738|  -0.160|
|   17.54|  -29.60|     54561| 5.79|167.47242253|-32.36745668|   0.027|
|   59.64|  -18.70|    111188| 4.29|337.87620651|-32.34602798|   0.011|
|   -4.96|    8.57|    104174| 5.20|316.60283819|-32.34163849|   1.104|
|  108.96|   64.13|     31688| 5.25|099.44809882|-32.33989066|   1.177|
|  -74.79|  -46.35|      7955| 5.25|025.53602338|-32.32685759|   1.044|
|    3.01|  -22.62|     27204| 5.18|086.49955386|-32.30637997|  -0.274|
|   -2.09|   -0.19|    103738| 4.67|315.32275695|-32.25776681|   0.890|
|   -2.03|   -6.55|     86527| 6.01|265.24394821|-32.21444835|   1.673|
|   -7.85|    4.55|     35855| 5.41|110.88291983|-32.20207858|  -0.169|
|   31.48|  -13.87|     47199| 5.62|144.29112334|-32.17861272|   1.023|
|  -15.62|  120.75|     28756| 5.65|091.08448552|-32.17272393|  -0.186|
|   55.46|  -22.12|    105140| 4.71|319.48436063|-32.17248551|   0.070|
|  -12.67|    0.97|     41723| 5.61|127.61924898|-32.15928753|   1.509|
|   -9.64|  -48.35|     83336| 5.03|255.46937192|-32.14340148|  -0.100|
|   -7.01|    6.79|     40341| 6.07|123.54599673|-32.14072755|  -0.159|
|   -9.40|  -23.03|     81891| 6.46|250.91137378|-32.10588875|  -0.076|
|  -91.41|  -53.47|    116820| 5.30|355.15921709|-32.07299489|   0.965|
|   43.01|  -10.78|     98842| 4.99|301.08151239|-32.05626941|   1.208|
|   -8.32|  -63.27|    102901| 6.42|312.69647274|-32.05445023|   1.513|
|   -2.84|    2.87|     31190| 5.73|098.16241008|-32.03045378|  -0.180|
|  -37.60|  -29.22|     78665| 6.00|240.89326968|-32.00046745|   0.470|
|    3.25|   12.68|     28138| 6.44|089.20418412|-31.97627815|   1.070|
|  -42.02|  -26.29|     54030| 6.44|165.81702176|-31.96078529|   1.616|
|    5.16|   14.23|     17304| 4.99|055.56207975|-31.93839587|  -0.159|
|  -13.53|  -10.74|     67786| 4.75|208.30228458|-31.92758624|  -0.111|
|   -8.54|    3.73|     35795| 5.40|110.75292901|-31.92379021|  -0.161|
|   17.66|    0.84|    117931| 6.09|358.81906097|-31.92146922|  -0.093|
|    1.49|  -13.52|     97260| 5.51|296.50506632|-31.90853854|   0.024|
|  -69.78|  -42.29|      7361| 6.11|023.71180174|-31.89221429|   1.109|
|   24.54|  -20.88|     46657| 5.75|142.69200638|-31.88917107|   0.066|
|    9.66|   -1.25|     78486| 6.33|240.33145077|-31.88913378|   1.454|
|   15.36|   -1.10|     16672| 6.39|053.63990978|-31.87479845|   1.404|
|  -49.22|   -0.09|     46734| 5.91|142.88413622|-31.87183113|   0.258|
| -209.09|  -41.60|     56343| 3.54|173.25107936|-31.85752405|   0.947|
|  -11.55|    4.40|     36345| 5.95|112.21316505|-31.84841156|  -0.156|
|  -77.49|  102.97|     53818| 6.06|165.17015147|-31.83961881|   0.527|
|  -21.37|    8.73|     35957| 5.35|111.18278416|-31.80892621|   1.071|
| -204.91| -304.13|     32366| 5.92|101.34616795|-31.79292174|   0.491|
|  -43.21|    0.81|     30376| 6.31|095.81043243|-31.79031451|   0.893|
|   -8.17|    6.67|     33330| 6.36|103.97824254|-31.79019560|  -0.155|
|   47.83|    4.25|     78058| 6.29|239.05832091|-31.78589260|   0.462|
|   -6.44|   85.28|     23446| 5.92|075.59503803|-31.77154017|   1.170|
|   -8.83|    4.62|     36045| 6.32|111.42910652|-31.73873180|  -0.176|
|   -1.70|   15.12|     32810| 5.74|102.59729100|-31.70609416|   0.094|
|    4.22|   -7.89|     87220| 4.79|267.29363880|-31.70318435|  -0.028|
|    8.80|   -9.48|     92972| 6.45|284.11346159|-31.68900191|   1.223|
|  -29.19|    1.61|     52841| 5.87|162.05888249|-31.68785403|   0.028|
|   24.53|   66.02|     68641| 6.18|210.75710980|-31.68419597|   0.480|
|  -22.65|   -4.34|     41449| 6.33|126.81847379|-31.67272366|   0.897|
|  -41.23|  -39.38|    111600| 5.82|339.14778918|-31.66369314|   1.074|
|  -13.79|  -10.96|    113234| 6.09|343.96476013|-31.63320469|   1.358|
|  -32.13|  -29.24|     67696| 6.11|208.00415628|-31.61913622|   0.478|
|  110.84|  -60.44|    102092| 5.75|310.34826007|-31.59814237|   1.551|
|  330.53| -159.86|    113283| 6.48|344.09927760|-31.56517871|   1.094|
|   81.00|   15.25|      4852| 5.50|015.60990729|-31.55204219|   0.083|
|   -9.72|    1.83|     74604| 4.91|228.65552450|-31.51912564|   0.374|
|   34.60|  -49.27|     64803| 5.10|199.22129667|-31.50607670|   0.959|
|-1113.64|  761.73|     41926| 6.38|128.21774079|-31.50270424|   0.780|
|  -10.44|    5.47|     36362| 5.78|112.27050532|-31.45622952|  -0.185|
|  117.87|  -27.11|      1288| 5.66|004.03660680|-31.44632821|   1.350|
|    1.39|    5.94|     28098| 5.52|089.08726177|-31.38245487|   0.382|
|  -49.77|  -31.64|     76739| 6.35|235.06483646|-31.21369404|   1.418|
|   -8.12|   -6.46|     74929| 6.18|229.67211538|-31.20933138|   1.205|
|  -36.49|  -17.72|     11524| 6.11|037.14773173|-31.10240175|   1.106|
|  -28.55|    4.02|     56332| 5.13|173.22562476|-31.08723547|   1.581|
|   30.28|   24.98|     77985| 6.21|238.87714588|-31.08370458|   1.371|
|  -35.15|   76.40|     16628| 6.20|053.48672231|-31.08030021|   0.482|
|   85.62|  -16.48|      8480| 6.35|027.33067634|-31.07242337|   1.222|
|   -3.04|    6.24|     32292| 5.23|101.11862078|-31.07053787|  -0.127|
|  -80.42|    9.63|     51172| 4.28|156.78814953|-31.06780228|   1.429|
|    2.95|  -19.17|     93667| 5.49|286.10439624|-31.04703255|   0.026|
|  -46.95|  -48.81|     93134| 6.09|284.58879917|-31.03585600|   1.347|
|  -10.74|    6.63|     33591| 6.41|104.68210351|-30.99805276|  -0.137|
|  -11.74|    0.84|     36514| 4.65|112.67754202|-30.96228313|   0.904|
|   -3.11|    4.20|     32385| 5.62|101.37996161|-30.94899076|  -0.138|
|  -15.51|  -45.83|      6502| 5.84|020.87903356|-30.94550599|   1.612|
|  -14.89|  -15.03|     71853| 6.38|220.46353219|-30.93311972|  -0.083|
|  -49.71|  -12.32|     40476| 6.22|123.96905389|-30.92591456|   0.777|
|  -23.00|  -28.66|     73937| 5.97|226.63838694|-30.91841299|  -0.076|
